"","instance","Revenue.min","Revenue.mean","Revenue.max"
"1","10-1-1-1",106,115.296296296296,119
"2","10-1-3-1",80.9999,86.8209185185185,88.9999
"3","10-1-5-1",99,106.667355185185,112.0004
"4","10-1-7-1",88.99984,99.8401910555556,103.99984
"5","10-1-9-1",82.00016,90.9523504814815,94.00015
"6","10-3-1-1",88,103.914814814815,115
"7","10-3-3-1",76,83.0444962962963,87
"8","10-3-5-1",98,114.956867462963,120.00001
"9","10-3-7-1",84.99886,96.1370775,98.99882
"10","10-3-9-1",99.00023,110.676655685185,114.00024
"11","10-5-1-1",74,91.0722222222222,99
"12","10-5-3-1",28.00012,35.1332446481481,39.0001
"13","10-5-5-1",68.0005,95.1850917222222,99.0005
"14","10-5-7-1",75.9997,99.9276333333333,107.9993
"15","10-5-9-1",84.00046,101.171545277778,103.0004
"16","10-7-1-1",78,95.6138888888889,101
"17","10-7-3-1",57.99978,77.2161547037037,83.99978
"18","10-7-5-1",62.9999,82.4574031481481,87
"19","10-7-7-1",61.99964,83.5197578518518,91.69958
"20","10-7-9-1",79.00042,105.800782981481,114.99954
"21","10-9-1-1",42,56.2851851851852,58
"22","10-9-3-1",53.9998,83.8790192777778,89
"23","10-9-5-1",48.55526,71.7801304814815,75.7426
"24","10-9-7-1",53.00014,70.542994037037,74.00018
"25","10-9-9-1",72.9997,96.2616185185185,106.99962
"26","100-1-1-1",769,881.915740740741,957
"27","100-1-3-1",708.99966,815.957050388889,889
"28","100-1-5-1",837.00014,967.606359722222,1079.0007
"29","100-1-7-1",741.99794,851.15838912963,941.99672
"30","100-1-9-1",827.99725,958.775871296296,1064.99613
"31","100-3-1-1",619,750.238888888889,845
"32","100-3-3-1",598.9996,759.856910388889,845.00066
"33","100-3-5-1",615.00055,764.04899612963,862.00107
"34","100-3-7-1",706.99875,849.922712777778,971.99822
"35","100-3-9-1",658.00034,832.1796185,948.00187
"36","100-5-1-1",576,747.598148148148,911
"37","100-5-3-1",482.0006,622.005706722222,740.00021
"38","100-5-5-1",493.99939,647.025015574074,797.80533
"39","100-5-7-1",510.00031,663.192111666667,792.11055
"40","100-5-9-1",550.00001,699.369303277778,838.99914
"41","100-7-1-1",312,510.37037037037,749
"42","100-7-3-1",352.99982,555.400629685185,859.99971
"43","100-7-5-1",275.9995,461.054421425926,719.99869
"44","100-7-7-1",304.99917,485.784653037037,752.20013
"45","100-7-9-1",337.99985,525.352250888889,777.64592
"46","100-9-1-1",149,390.194444444444,773
"47","100-9-3-1",146.0002,370.318169666667,776.0002
"48","100-9-5-1",144.99968,337.319393351852,671.00072
"49","100-9-7-1",202.99978,408.568747037037,806.99921
"50","100-9-9-1",139.9995,352.014385388889,693.79152
"51","15-1-1-1",113,129.473148148148,136
"52","15-1-3-1",121.0003,135.682818888889,147.0003
"53","15-1-5-1",171.9997,199.535834074074,210.9996
"54","15-1-7-1",145.00009,164.577186796296,173.99969
"55","15-1-9-1",129.0005,151.427586111111,160.00054
"56","15-3-1-1",134,157.455555555556,169
"57","15-3-3-1",130.99991,157.1140735,171.9999
"58","15-3-5-1",138.9996,163.255903333333,181.999
"59","15-3-7-1",150.99982,178.697207333333,189.99987
"60","15-3-9-1",88.99972,102.447568703704,111.99928
"61","15-5-1-1",105,131.901851851852,148
"62","15-5-3-1",108.0001,139.767941666667,161.0001
"63","15-5-5-1",109.9998,142.457553111111,159.9996
"64","15-5-7-1",92.99955,125.312631240741,140.99985
"65","15-5-9-1",92.00052,126.452990759259,139.00053
"66","15-7-1-1",95,125.272222222222,153
"67","15-7-3-1",92.9998,130.340862592593,144.9998
"68","15-7-5-1",75.9999,107.841634555556,129
"69","15-7-7-1",60.01173,90.4461705185185,105.99996
"70","15-7-9-1",106.99978,134.8739725,150.99992
"71","15-9-1-1",73,113.589814814815,125
"72","15-9-3-1",77.8337,112.675290740741,131.0002
"73","15-9-5-1",85.0005,120.256596296296,146.0006
"74","15-9-7-1",78.25287,115.123186222222,145.28583
"75","15-9-9-1",62.28575,82.4093307407407,91.00005
"76","20-1-1-1",173,190.04537037037,203
"77","20-1-3-1",193.9998,222.406007314815,244.00018
"78","20-1-5-1",167.99956,200.06666112963,216.99931
"79","20-1-7-1",200.00075,229.940770166667,245.00097
"80","20-1-9-1",180.99853,216.153004388889,231.99847
"81","20-3-1-1",130,152.70462962963,165
"82","20-3-3-1",136.9993,169.027402092593,182.9993
"83","20-3-5-1",153.9999,192.0282425,217.0001
"84","20-3-7-1",180.9998,214.845855203704,229.99976
"85","20-3-9-1",142.9997,168.165178537037,184.9997
"86","20-5-1-1",125,169.377777777778,192
"87","20-5-3-1",125.0002,164.152844074074,189.00008
"88","20-5-5-1",121.00034,163.717894777778,189.0003
"89","20-5-7-1",151.99961,206.747260555556,238.72728
"90","20-5-9-1",135.99995,185.727692833333,220.0012
"91","20-7-1-1",110,164.608333333333,197
"92","20-7-3-1",102.9998,142.419912222222,172.9995
"93","20-7-5-1",99.0001,141.967713518519,175.4001
"94","20-7-7-1",116.3624,180.94830762963,224.9992
"95","20-7-9-1",110.00059,159.39778112963,184.11058
"96","20-9-1-1",80,118.757407407407,152
"97","20-9-3-1",65.4666,115.319661351852,149.0002
"98","20-9-5-1",88.2572,122.816340148148,158.0004
"99","20-9-7-1",89.19924,153.691305203704,196.99907
"100","20-9-9-1",102.61778,146.537497907407,189.61079
"101","25-1-1-1",241,273.568518518519,298
"102","25-1-3-1",210.9999,264.201867518519,282.9997
"103","25-1-5-1",185.00049,220.316188037037,240.00054
"104","25-1-7-1",224.00003,250.993870592593,264.99951
"105","25-1-9-1",202.9997,252.907199740741,278.99919
"106","25-3-1-1",199,245.000925925926,272
"107","25-3-3-1",162,204.026568703704,228.0001
"108","25-3-5-1",179.00062,233.577883388889,257.00048
"109","25-3-7-1",192.99961,237.654202944444,260.99921
"110","25-3-9-1",177.9985,237.616654574074,267.99781
"111","25-5-1-1",166,212.615740740741,250
"112","25-5-3-1",160.0001,212.416625740741,253.0001
"113","25-5-5-1",140.9997,203.643748240741,232.9992
"114","25-5-7-1",156.99984,206.183395962963,250.9985
"115","25-5-9-1",162.99845,219.404821777778,257.99785
"116","25-7-1-1",141,192.153703703704,227
"117","25-7-3-1",110.9995,171.407296111111,203.0001
"118","25-7-5-1",143.99981,190.34630487037,231.99981
"119","25-7-7-1",128,183.5763805,224.00047
"120","25-7-9-1",139.33421,202.040267777778,256.00175
"121","25-9-1-1",98,152.586111111111,207
"122","25-9-3-1",91.99971,139.549791425926,179
"123","25-9-5-1",98.9999,163.064724555556,216.62471
"124","25-9-7-1",99.99978,152.09338012963,191.00034
"125","25-9-9-1",117.99885,181.248807314815,250.3069
"126","50-1-1-1",402,462.907407407407,503
"127","50-1-3-1",375.0003,428.216411666667,466.0003
"128","50-1-5-1",442.99985,508.78975362963,559.0005
"129","50-1-7-1",439.99998,517.442587074074,572.99998
"130","50-1-9-1",430.99813,494.110396611111,538.99832
"131","50-3-1-1",349,445.925,511
"132","50-3-3-1",377.0001,475.882501851852,546.0004
"133","50-3-5-1",356.99963,469.849956074074,531.9998
"134","50-3-7-1",356.00005,453.927451333333,505.99875
"135","50-3-9-1",301.00147,377.880130444444,433.00194
"136","50-5-1-1",277,370.737037037037,443
"137","50-5-3-1",278,356.004430555556,416.0002
"138","50-5-5-1",313.9993,399.922721148148,476.9991
"139","50-5-7-1",299.99953,399.623293074074,473.99995
"140","50-5-9-1",298.98487,406.288748740741,473.75157
"141","50-7-1-1",195,293.637037037037,380
"142","50-7-3-1",246.0005,348.870077574074,479.00028
"143","50-7-5-1",224,313.181808722222,424.00005
"144","50-7-7-1",208.99828,299.917018166667,402.99962
"145","50-7-9-1",243.99994,331.451252166667,439.22171
"146","50-9-1-1",95,198.355555555556,327
"147","50-9-3-1",119.9998,232.494987981481,395.99981
"148","50-9-5-1",121.99981,227.480020796296,393.39955
"149","50-9-7-1",135.00018,247.25587162963,421.1552
"150","50-9-9-1",182.99977,286.877995203704,437.13532
