name1,jpgName,local,name2
accordion,image_0002.jpg,/m/04szw,musical instrument,False
accordion,image_0002.jpg,/m/05r5c,piano,False
accordion,image_0002.jpg,/m/03q5t,harpsichord,False
accordion,image_0002.jpg,/m/05148p4,keyboard,False
accordion,image_0002.jpg,/m/011_f4,string instrument,False
accordion,image_0002.jpg,/m/01s0ps,electric piano,False
accordion,image_0002.jpg,/m/012lk9,player piano,False
accordion,image_0002.jpg,/m/02wfc4,fortepiano,False
accordion,image_0002.jpg,/m/057cc,musical keyboard,False
accordion,image_0002.jpg,/m/02dwgb,input device,False
accordion,image_0005.jpg,/m/04szw,musical instrument,False
accordion,image_0005.jpg,/m/09jwl,musician,False
accordion,image_0005.jpg,/m/011_f4,string instrument,False
accordion,image_0005.jpg,/m/01dv4h,portrait,False
accordion,image_0005.jpg,/m/05vyk,pianist,False
accordion,image_0005.jpg,/m/0k65p,hand,False
accordion,image_0005.jpg,/m/05r5c,piano,False
accordion,image_0005.jpg,/m/06203h,folk instrument,False
accordion,image_0005.jpg,/m/039v1,guitarist,False
accordion,image_0004.jpg,/m/02wbm,food,False
accordion,image_0004.jpg,/m/04h4qw,garmon,False
accordion,image_0004.jpg,/m/02q08p0,dish,False
accordion,image_0004.jpg,/m/0hwky,pattern,False
accordion,image_0008.jpg,/m/07glzq,sketch,False
accordion,image_0007.jpg,/m/01g6gs,black and white,False
accordion,image_0007.jpg,/m/04szw,musical instrument,False
accordion,image_0007.jpg,/m/0mkg,accordion,True
accordion,image_0007.jpg,/m/03f52z,eyelash,False
accordion,image_0007.jpg,/m/01drwh,bandoneon,False
accordion,image_0007.jpg,/m/05rtnj,button accordion,False
accordion,image_0007.jpg,/m/06203h,folk instrument,False
accordion,image_0009.jpg,/m/04szw,musical instrument,False
accordion,image_0009.jpg,/m/05r5c,piano,False
accordion,image_0009.jpg,/m/05148p4,keyboard,False
accordion,image_0009.jpg,/m/011_f4,string instrument,False
accordion,image_0009.jpg,/m/012lk9,player piano,False
accordion,image_0009.jpg,/m/01s0ps,electric piano,False
accordion,image_0009.jpg,/m/02dwgb,input device,False
accordion,image_0009.jpg,/m/06203h,folk instrument,False
accordion,image_0003.jpg,/m/03q5t,harpsichord,False
accordion,image_0003.jpg,/m/05148p4,keyboard,False
accordion,image_0003.jpg,/m/011_f4,string instrument,False
accordion,image_0003.jpg,/m/04szw,musical instrument,False
accordion,image_0001.jpg,/m/01drwh,bandoneon,False
accordion,image_0001.jpg,/m/0d8lm,string instrument,False
accordion,image_0001.jpg,/m/04szw,musical instrument,False
accordion,image_0001.jpg,/m/06203h,folk instrument,False
accordion,image_0011.jpg,/m/04szw,musical instrument,False
accordion,image_0011.jpg,/m/025sf8x,silver,False
accordion,image_0010.jpg,/m/04szw,musical instrument,False
accordion,image_0010.jpg,/m/05148p4,keyboard,False
accordion,image_0010.jpg,/m/0mkg,accordion,True
accordion,image_0010.jpg,/m/06203h,folk instrument,False
accordion,image_0017.jpg,/m/0krfg,meal,False
accordion,image_0017.jpg,/m/015bv3,document,False
accordion,image_0016.jpg,/m/04szw,musical instrument,False
accordion,image_0016.jpg,/m/0mkg,accordion,True
accordion,image_0016.jpg,/m/0d8lm,string instrument,False
accordion,image_0016.jpg,/m/01drwh,bandoneon,False
accordion,image_0016.jpg,/m/05rtnj,button accordion,False
accordion,image_0014.jpg,/m/0508p,motherboard,False
accordion,image_0014.jpg,/m/030swj,mobile device,False
accordion,image_0014.jpg,/m/07c1v,technology,False
accordion,image_0013.jpg,/m/0404d,jewellery,False
accordion,image_0013.jpg,/m/01rn09,bling bling,False
accordion,image_0021.jpg,/m/04szw,musical instrument,False
